method,cancer,MCC,F1,AUC,Precision,ks
DNmax,ACC,0.03875300344161087,0.5095372800674698,0.6764899955666851,0.12,1.1262491842998294e-45
DNsum,ACC,0.030116259891611374,0.5064330856375171,0.6580591346879843,0.1,3.5096567146978185e-29
DriverML,ACC,0.008028619136591097,0.49838228034119175,0.4442101457872876,0.05,6.7315099619766294e-09
MaxMIF,ACC,0.05164083173636808,0.5141391253715324,0.5906778715117692,0.15,9.16233078657425e-13
MutPanning,ACC,0.012364264681268482,0.499936066009333,0.544859617691162,0.06,0.0008175965765614856
WITER,ACC,0.012364264681268482,0.499936066009333,0.544859617691162,0.06,0.0008175965765614856
driverRWH,ACC,0.07031315716988423,0.5213578139649471,0.5835930110511462,0.19,1.6295319235896958e-12
DNmax,BLCA,0.0992102082916073,0.5312666410771388,0.7348498628417952,0.26,1.193973810852843e-83
DNsum,BLCA,0.14239392604160475,0.5467876132269025,0.7312228116261059,0.36,8.752337502046017e-65
DriverML,BLCA,0.1087186784767398,0.5348924308226873,0.5286728577607307,0.28,2.1813077364280149e-10
MaxMIF,BLCA,0.1560065443009101,0.551814928250638,0.708583600093702,0.39,6.7149763254952e-65
MutPanning,BLCA,-0.00950554607969512,0.4920111225229515,0.5780434673151519,0.01,3.2423346812561e-08
WITER,BLCA,-0.00950554607969512,0.4920111225229515,0.5780434673151519,0.01,3.2423346812561e-08
driverRWH,BLCA,0.17447266864572086,0.5589598187598448,0.7735663798150956,0.43,3.0315334947617334e-94
DNmax,BRCA,0.16830415669160323,0.5561001965167607,0.7346571166010284,0.42,8.08987559121849e-89
DNsum,BRCA,0.12080206716660603,0.5390271271520207,0.7184060698461099,0.31,5.734772922644111e-61
DriverML,BRCA,0.043051248472294995,0.5110814631173641,0.5660365682501006,0.13,7.882388876260754e-15
MaxMIF,BRCA,0.16035511565776603,0.5533847533706008,0.694809604636039,0.4,1.035999309807987e-62
MutPanning,BRCA,-0.0007576217753096789,0.4951810999175041,0.5352469337722368,0.03,9.831825628363378e-05
WITER,BRCA,-0.0007576217753096789,0.4951810999175041,0.5352469337722368,0.03,9.831825628363378e-05
driverRWH,BRCA,0.1831526279353739,0.5620933191594196,0.7272860929577925,0.45,4.292130563254299e-71
DNmax,CESC,0.004206029241612902,0.4971205023476589,0.7104888880454734,0.04,1.909507754161006e-67
DNsum,CESC,0.14239392604160475,0.5467876132269025,0.7062629052667622,0.36,2.2894303172618137e-48
DriverML,CESC,0.038673419805332,0.5094940652703426,0.4614891214364276,0.12,7.729557285516054e-07
MaxMIF,CESC,0.055989403093224,0.5157089504914951,0.6478444766986116,0.16,2.9017606619966522e-33
MutPanning,CESC,-0.0051315839275024,0.49359611122022784,0.5876134701838964,0.02,3.8432979867451116e-11
WITER,CESC,-0.0051315839275024,0.49359611122022784,0.5876134701838964,0.02,3.8432979867451116e-11
driverRWH,CESC,0.1657927093560678,0.5558263183602701,0.7470250864008167,0.41,2.506408700902572e-79
DNmax,CHOL,0.051708118766610106,0.5141935717123989,0.6971916181276553,0.15,6.880923651087361e-56
DNsum,CHOL,0.09057346474160781,0.5281624466471863,0.6771605445467399,0.24,5.574547953100685e-51
