method,cancer,MCC,F1,AUC,Precision,ks
ourmethod,ACC,0.024972983,0.507404275,0.901266955,0.01,5.52E-09
DNmax,ACC,0.024766637,0.507243295,0.934938142,0.01,4.94E-09
DNsum,ACC,0.105194735,0.533640976,0.976754591,0.04,5.40E-14
DriverML,ACC,0.051438006,0.515932091,0.516711905,0.02,0.001491465
MaxMIF,ACC,0.105116256,0.533574558,0.974070729,0.04,8.38E-12
MutPanning,ACC,0.158692966,0.551130696,0.695452525,0.06,0.008326187
WITER,ACC,0.024621647,0.507130183,0.919334759,0.01,2.46E-09
DriverRWH,ACC,0.15890476,0.551321804,0.970269212,0.06,3.18E-13
ourmethod,BLCA,0.227692246,0.612634742,0.877045873,0.2,4.11E-27
DNmax,BLCA,0.182177075,0.590012753,0.828129892,0.16,3.27E-21
DNsum,BLCA,0.275617646,0.636208499,0.914301433,0.24,1.51E-38
DriverML,BLCA,0.263684694,0.630305092,0.725226547,0.23,2.41E-17
MaxMIF,BLCA,0.287144979,0.64190501,0.802510458,0.25,4.17E-26
MutPanning,BLCA,0.287037849,0.641850331,0.559063998,0.25,8.67E-08
WITER,BLCA,0.006631409,0.503221429,0.711508932,0.01,7.10E-09
DriverRWH,BLCA,0.355113333,0.675689556,0.938825425,0.31,6.80E-42
ourmethod,BRCA,0.302859411,0.651397168,0.921754184,0.3,8.02E-46
DNmax,BRCA,0.180328335,0.590132768,0.853275401,0.18,3.47E-29
DNsum,BRCA,0.221586402,0.610755019,0.910246155,0.22,2.96E-41
DriverML,BRCA,0.128415012,0.564184512,0.773763356,0.13,2.47E-21
MaxMIF,BRCA,0.262664554,0.631287261,0.848844816,0.26,2.13E-35
MutPanning,BRCA,0.200625546,0.600277899,0.538148581,0.2,0.000617849
WITER,BRCA,0.01490863,0.50744998,0.614877383,0.02,6.36E-05
DriverRWH,BRCA,0.292429799,0.646183396,0.883151055,0.29,8.96E-40
ourmethod,CESC,0.136187418,0.561865056,0.898989652,0.09,3.45E-21
DNmax,CESC,0.02743961,0.51219957,0.858216961,0.02,7.91E-16
DNsum,CESC,0.244302563,0.61117357,0.933173062,0.16,2.18E-22
